
2024/08/26 (23:08:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/26 (23:08:39) | ===> btop++ v.1.3.2
2024/08/26 (23:08:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/26 (23:08:39) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/26 (23:09:33) | ===> btop++ v.1.3.2
2024/08/26 (23:09:33) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/26 (23:09:33) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/27 (09:57:47) | ===> btop++ v.1.3.2
2024/08/27 (09:57:47) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/27 (09:57:47) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/27 (10:52:41) | ===> btop++ v.1.3.2
2024/08/27 (10:52:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/27 (10:52:41) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/27 (16:04:46) | ===> btop++ v.1.3.2
2024/08/27 (16:04:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/27 (16:04:46) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/08/27 (16:12:23) | ===> btop++ v.1.3.2
2024/08/27 (16:12:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/08/27 (16:12:23) | WARNING: NVML: Failed to get GPU power usage: Not Supported

